sim_alpha,sim_beta,n,method_type,method_algo,parameter,bias,bias_mcse,empse,empse_mcse,mse,mse_mcse
3.0,1.5,10,mrr,beta,alpha,0.3048044283195267,0.39089349667821016,0.8740644305350661,0.3090284430126516,0.704096642504465,0.3312171404005651
3.0,1.5,10,mrr,beta,beta,-0.27654123281752935,0.08402450872377792,0.18788451328239153,0.0664272067109565,0.1047155257133279,0.048468169691485
3.0,1.5,10,mrr,bernard,alpha,0.30688868600529534,0.39114693550333623,0.8746311369761858,0.30922880399638053,0.7061643662126611,0.33281373137883313
3.0,1.5,10,mrr,bernard,beta,-0.28055691367644303,0.0837685421837875,0.18731215469900753,0.06622484739316592,0.10678085645003906,0.04894812581713342
3.0,1.5,10,mle,scipy,alpha,0.25334199174624655,0.39423967202243926,0.8815467060693961,0.3116738268971671,0.6858818407673971,0.3098448391400556
3.0,1.5,10,mle,scipy,beta,-0.1123428241355278,0.11802370316057198,0.26390902322329574,0.09330592996875522,0.06833928816568537,0.02734917972769261
3.0,1.5,50,mrr,beta,alpha,0.12585366026517592,0.0376158587223429,0.08411161713518713,0.02973794742642871,0.02149895511181936,0.010087610398046551
3.0,1.5,50,mrr,beta,beta,0.05321153574817994,0.05091660907559432,0.11385299907681164,0.04025311385281962,0.013201471855707409,0.012335523012041988
3.0,1.5,50,mrr,bernard,alpha,0.12686713309671668,0.03762129868864259,0.08412378126962852,0.029742248097404098,0.021756717920260273,0.010163825905995332
3.0,1.5,50,mrr,bernard,beta,0.04961633984324174,0.05078849788811732,0.11356653375293484,0.04015183306627557,0.012779667250365246,0.011936847944710654
3.0,1.5,50,mle,scipy,alpha,0.12296938542179241,0.030841207221390415,0.06896303585518637,0.02438211515220665,0.018926190002504308,0.008159430944564493
3.0,1.5,50,mle,scipy,beta,0.08098930433298852,0.0679689020294815,0.15198308529394405,0.05373413511850064,0.02503835398871445,0.01943507886769548
3.0,1.5,100,mrr,beta,alpha,-0.06441871738366647,0.08521641450768304,0.19054969563797855,0.06736949096932365,0.0331971203555377,0.025073049474224025
3.0,1.5,100,mrr,beta,beta,-0.09774786656736079,0.038027153164100685,0.08503129946572535,0.030063104232659225,0.015338902929534461,0.009501450314818603
3.0,1.5,100,mrr,bernard,alpha,-0.063541275981473,0.08528767427286844,0.1907090373169938,0.06742582676020233,0.03313344328485334,0.02496322097397561
3.0,1.5,100,mrr,bernard,beta,-0.10014871854511095,0.03800404336749344,0.08497962438956536,0.03004483433427369,0.01580699507534114,0.009668692141706464
3.0,1.5,100,mle,scipy,alpha,-0.12224577253089537,0.0707903288181118,0.15829198738686034,0.05596466884437219,0.03498911151838098,0.024189684871254013
3.0,1.5,100,mle,scipy,beta,0.01119250443181774,0.03417983001290067,0.07642842336823341,0.027021528219537117,0.004798315274299401,0.0038959063130666314
3.0,2.0,10,mrr,beta,alpha,0.00223880440770845,0.15018669027578463,0.3358276487723611,0.11873300387843533,0.09022917998915383,0.027207731932348145
3.0,2.0,10,mrr,beta,beta,0.20152794530897616,0.27085227260031314,0.6056440933946039,0.21412752271245156,0.334057327031475,0.14163902456377567
3.0,2.0,10,mrr,bernard,alpha,0.0033693680316610576,0.15039801367961622,0.3363001822685652,0.11890006969818717,0.0904896027160289,0.027307246736121674
3.0,2.0,10,mrr,bernard,beta,0.19444482005940794,0.2701126824031019,0.603990319438147,0.21354282532287136,0.32965223282793144,0.13939149324988084
3.0,2.0,10,mle,scipy,alpha,-0.03213836033642856,0.14229444104273123,0.3181800429918831,0.11249363301889388,0.08202370601176738,0.027665596202308042
3.0,2.0,10,mle,scipy,beta,0.3393360071756659,0.23552994576076974,0.5266609694579195,0.18620277144498804,0.3370463471662081,0.1790763341559769
3.0,2.0,50,mrr,beta,alpha,0.12567084444449872,0.09895838793947047,0.22127768237645132,0.07823347486681585,0.05496421131770833,0.016728067660613563
3.0,2.0,50,mrr,beta,beta,-0.02495329300236384,0.09148998657668755,0.20457782924601664,0.07232918517014097,0.0341043374068717,0.02007817692724076
3.0,2.0,50,mrr,bernard,alpha,0.1265102190114078,0.09897417403900764,0.221312981168116,0.07824595487429276,0.055188384021129466,0.016890303697829415
3.0,2.0,50,mrr,bernard,beta,-0.029616835065488577,0.09125239058288438,0.20404654845269116,0.07214134904430367,0.034185152067661505,0.020035099640443983
3.0,2.0,50,mle,scipy,alpha,0.10816157375244817,0.09518246210690244,0.21283445553683172,0.07524834339012022,0.04793773040753397,0.013376374992206471
3.0,2.0,50,mle,scipy,beta,0.0998209996096108,0.10952630274458587,0.24490825826111579,0.08658814509251063,0.05794827593465664,0.04464077256986174
3.0,2.0,100,mrr,beta,alpha,0.1138219631699072,0.125685368706907,0.2810410282057689,0.09936300841796947,0.07614268692781634,0.03595260997126935
3.0,2.0,100,mrr,beta,beta,-0.20710346595079643,0.18486320660433853,0.413366696505889,0.1461471971079978,0.17958946623298605,0.16650521924538847
3.0,2.0,100,mrr,bernard,alpha,0.1146704256868345,0.1258399538445751,0.28138669108190595,0.09948521869982994,0.07649208246161901,0.036182398192761756
3.0,2.0,100,mrr,bernard,beta,-0.2102297390210118,0.18458425010382162,0.41274293080796776,0.14592666263056198,0.1804819247144034,0.16724612290923824
3.0,2.0,100,mle,scipy,alpha,-0.007748502279676117,0.09114398549278624,0.2038041473021247,0.0720556472956372,0.033288943653615066,0.021100864599138847
3.0,2.0,100,mle,scipy,beta,0.013047414793916134,0.09079314583367881,0.20301964597515765,0.07177828419156307,0.03314381635430718,0.015135629269896641
3.0,2.5,10,mrr,beta,alpha,0.34064075011012446,0.12116870752166624,0.2709414667642358,0.09579227422681036,0.17476354336547267,0.11417226763514095
3.0,2.5,10,mrr,beta,beta,-0.7506146689035883,0.13301470748447694,0.2974299279425405,0.10515735948799827,0.6341940308019673,0.1741978996357607
3.0,2.5,10,mrr,bernard,alpha,0.34204506549103425,0.12123722029661742,0.2710946659863538,0.09584643833122643,0.17578868116776808,0.11457446246845208
3.0,2.5,10,mrr,bernard,beta,-0.7562032071346445,0.1326752994566622,0.2966709885202376,0.1048890338819882,0.6422542308243819,0.17521231801740922
3.0,2.5,10,mle,scipy,alpha,0.2202987629095186,0.11365852578370762,0.2541481898747828,0.08985495424337259,0.10020458687276723,0.0759831908782849
3.0,2.5,10,mle,scipy,beta,-0.09791718296582301,0.24202889982131584,0.5411930725199489,0.1913406457550194,0.24389972811482857,0.055630388920732764
3.0,2.5,50,mrr,beta,alpha,0.10123386481495711,0.028332105090996998,0.06335251292913716,0.022398495748700654,0.013459128100922205,0.005230172301384114
3.0,2.5,50,mrr,beta,beta,-0.16282935302104487,0.16455084573202378,0.3679468768118863,0.13008886585504803,0.1348213215297492,0.062368167683158074
3.0,2.5,50,mrr,bernard,alpha,0.10192381966533359,0.028289146407034976,0.06325645439157414,0.022364533927049818,0.013589568232926081,0.005260868013484837
3.0,2.5,50,mrr,bernard,beta,-0.1682372503165197,0.1642327798384433,0.36723565985251616,0.12983741268761526,0.1361933962879137,0.06341599926003176
3.0,2.5,50,mle,scipy,alpha,0.09015650366636345,0.03779221599838144,0.08450596399273597,0.029877370094984906,0.013841201513616277,0.005237061688805274
3.0,2.5,50,mle,scipy,beta,-0.1367717035389476,0.09939517264808127,0.22225436267643753,0.07857878349840164,0.05822410027191331,0.01419330506911991
3.0,2.5,100,mrr,beta,alpha,-0.03814035783820531,0.05295418383252431,0.1184091547425447,0.041863958136510296,0.012671269237501465,0.004975146759216089
3.0,2.5,100,mrr,beta,beta,0.0663005144015143,0.09146544711940839,0.2045229573514095,0.07230978502575434,0.037859470276918585,0.011332462233219128
3.0,2.5,100,mrr,bernard,alpha,-0.03768759826461103,0.05299150593518589,0.11849260950115921,0.0418934638493796,0.01265275386807008,0.004955382870461806
3.0,2.5,100,mrr,bernard,beta,0.06202434025529646,0.09136025289839032,0.20428773592237295,0.07222662169197828,0.037233802022736136,0.011182679901624549
3.0,2.5,100,mle,scipy,alpha,-0.037294474846764646,0.04384053274888202,0.09803041139630592,0.03465898433041746,0.009078847100919149,0.0036589122481752627
3.0,2.5,100,mle,scipy,beta,0.014790431637310064,0.03344484174312667,0.0747849396343538,0.02644046897303909,0.0046929866249090955,0.0028895045292746794
